course_id,course_name,category,difficulty,duration_hours,description,features,roadmap_url
1,Python Basics,Programming,Beginner,10,"This course introduces Python as a first programming language. You will master syntax variables control flow functions and basic error handling through short exercises. Learners gain skills to automate tasks parse data and prepare for object-oriented or data-focused tracks. Designed for beginners with no prior coding experience.",Python syntax variables functions control flow exercises automation beginner programming,https://roadmap.sh/python
2,Python OOP,Programming,Intermediate,15,"Build robust programs using object-oriented design principles in Python. Topics include classes inheritance polymorphism abstract patterns and modules for scalable code. You will apply these skills to APIs domain modeling and larger team projects. Best suited to learners who have completed introductory Python.",object oriented classes inheritance polymorphism modules design patterns intermediate programming,https://roadmap.sh/python
3,Data Structures & Algorithms,Computer Science,Intermediate,20,"Develop algorithmic thinking and implement core structures such as arrays trees graphs heaps and hash tables. You will analyze time and space complexity and practice sorting searching and dynamic programming patterns. These skills are essential for technical interviews and efficient software at scale. Target audience includes aspiring engineers with basic programming fluency.",algorithms complexity trees graphs sorting searching dynamic programming interviews computer science,https://roadmap.sh/computer-science
4,SQL for Beginners,Database,Beginner,8,"Learn relational database fundamentals and write practical SQL for reporting and applications. Coverage includes SELECT joins aggregations filtering and introductory schema design. You will be able to extract trustworthy insights from transactional data. Intended for analysts developers and students new to databases.",SQL joins aggregations queries database design reporting beginner database,https://roadmap.sh/sql
5,Advanced SQL,Database,Intermediate,12,"Deepen your SQL expertise with window functions CTEs stored routines indexing strategies and query tuning. You will design performant queries for analytics pipelines and production systems. Emphasis is placed on readability maintainability and measurable performance gains. For practitioners who already write everyday SQL.",window functions CTE indexing optimization stored procedures intermediate database,https://roadmap.sh/sql
6,Machine Learning Fundamentals,Machine Learning,Intermediate,25,"Survey supervised and unsupervised learning including regression classification clustering and model evaluation. You will train models with scikit-learn interpret metrics and avoid common leakage pitfalls. Practical labs connect theory to tabular and structured datasets. Appropriate for learners with statistics and Python basics.",supervised unsupervised regression classification clustering evaluation scikit-learn intermediate machine learning,https://roadmap.sh/ai-data-scientist
7,Deep Learning with TensorFlow,Deep Learning,Advanced,30,"Design and train neural networks using TensorFlow and Keras for vision sequence and tabular problems. Topics span CNNs RNNs regularization transfer learning and experiment tracking. You will deploy prototypes and interpret training dynamics responsibly. Requires solid Python linear algebra and prior ML exposure.",TensorFlow Keras CNN RNN neural networks transfer learning advanced deep learning,https://roadmap.sh/ai-data-scientist
8,NLP with Python,NLP,Advanced,28,"Explore modern natural language processing from tokenization to transformer-based models. You will build sentiment classifiers summarizers and embeddings using industry-standard libraries. Ethical considerations around bias and deployment are woven throughout. Geared toward engineers ready to apply NLP in products.",NLP transformers tokenization BERT sentiment embeddings advanced language models,https://roadmap.sh/ai-data-scientist
9,Computer Vision,Computer Vision,Advanced,32,"Study image classification detection segmentation and classical plus deep vision pipelines. Hands-on work includes OpenCV preprocessing CNN architectures and object detection frameworks. You will connect models to real sensing constraints and evaluation protocols. For advanced learners pursuing vision or robotics applications.",OpenCV CNN detection segmentation YOLO classification advanced computer vision,https://roadmap.sh/ai-data-scientist
10,Data Visualization,Data Viz,Beginner,10,"Turn raw data into clear compelling visuals using Matplotlib Seaborn and Plotly. You will learn chart selection accessibility color storytelling and dashboard-ready layouts. Exercises emphasize communicating uncertainty and insights to stakeholders. Beginner-friendly with basic spreadsheet or Python comfort helpful.",Matplotlib Seaborn Plotly charts dashboards storytelling beginner data visualization,https://roadmap.sh/data-analyst
11,Statistics for Data Science,Mathematics,Intermediate,18,"Strengthen inferential statistics for data-driven decisions including distributions confidence intervals and hypothesis tests. You will connect math intuition to A/B tests and modeling assumptions. Case studies reflect analytics and experimentation in industry. Ideal for analysts and ML students strengthening quantitative foundations.",statistics hypothesis testing distributions inference confidence intervals intermediate mathematics,https://roadmap.sh/data-analyst
12,Linear Algebra,Mathematics,Intermediate,14,"Master vectors matrices eigenvalues and decompositions used throughout ML and graphics. Lessons bridge geometric intuition with numerical computation in Python. You will be prepared for optimization dimensionality reduction and deep learning theory. Suited to learners who have completed introductory calculus or programming.",linear algebra matrices eigenvectors decomposition ML foundations intermediate mathematics,https://roadmap.sh/data-analyst
